0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:08:36 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:08:46 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:08:46 +0900] "POST /Seung/JsonServlet2 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:09:33 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:09:40 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:09:40 +0900] "POST /Seung/JsonServlet2 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:09:54 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:09:54 +0900] "POST /Seung/JsonServlet2 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:10:09 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:10:09 +0900] "POST /Seung/JsonServlet2 HTTP/1.1" 200 78
127.0.0.1 - - [10/Nov/2019:13:45:07 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:45:08 +0900] "GET /Seung/JsonServlet3 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:49:48 +0900] "GET /Seung/ajax1.jsp HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [10/Nov/2019:13:49:48 +0900] "POST /Seung/JsonServlet3 HTTP/1.1" 200 177
127.0.0.1 - - [10/Nov/2019:16:08:53 +0900] "GET / HTTP/1.1" 404 1115
1.246.212.140 - - [10/Nov/2019:16:09:04 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:09:12 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:09:20 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:09:28 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:09:36 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:09:44 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:10:03 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:10:11 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:10:19 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:10:27 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:10:35 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:10:43 +0900] "GET /Mandara/NewFile.jsp " 200 8
1.246.212.140 - - [10/Nov/2019:16:10:52 +0900] "GET /Mandara/NewFile.jsp " 200 8
